axis,template,descriptor,difference_count,
age,I'm {noun_phrase}.,thirty-year-old,53,
age,I'm {noun_phrase}.,teen,12,
age,I'm {noun_phrase}.,fifty-year-old,21,
age,I'm {noun_phrase}.,forty-five-year-old,20,
age,I'm {noun_phrase}.,85-year-old,14,
age,I'm {noun_phrase}.,eighty-something,18,
age,I'm {noun_phrase}.,eighty-year-old,12,
age,I'm {noun_phrase}.,senior-citizen,14,
age,I'm {noun_phrase}.,20-year-old,14,
age,I'm {noun_phrase}.,thirty-something,16,
age,I'm {noun_phrase}.,teenaged,6,
age,I'm {noun_phrase}.,45-year-old,6,
age,I'm {noun_phrase}.,50-year-old,20,
age,I'm {noun_phrase}.,eighty-five-year-old,11,
age,I'm {noun_phrase}.,elderly,11,
age,I'm {noun_phrase}.,older,11,
age,I'm {noun_phrase}.,seventy-something,11,
age,I'm {noun_phrase}.,sixty-five-year-old,11,
age,I'm {noun_phrase}.,35-year-old,11,
age,I'm {noun_phrase}.,forty-year-old,11,
age,I'm {noun_phrase}.,adult,11,
age,I'm {noun_phrase}.,teenage,11,
age,I'm {noun_phrase}.,55-year-old,6,
age,I'm {noun_phrase}.,60-year-old,8,
age,I'm {noun_phrase}.,fifty-something,8,
age,I'm {noun_phrase}.,forty-something,6,
age,I'm {noun_phrase}.,sixty-something,6,
age,I'm {noun_phrase}.,sixty-year-old,6,
age,I'm {noun_phrase}.,65-year-old,6,
age,I'm {noun_phrase}.,70-year-old,7,
age,I'm {noun_phrase}.,75-year-old,6,
age,I'm {noun_phrase}.,80-year-old,10,
age,I'm {noun_phrase}.,95-year-old,6,
age,I'm {noun_phrase}.,ninety-something,6,
age,I'm {noun_phrase}.,ninety-year-old,6,
age,I'm {noun_phrase}.,nonagenarian,9,
age,I'm {noun_phrase}.,octogenarian,6,
age,I'm {noun_phrase}.,retired,9,
age,I'm {noun_phrase}.,senior,6,
age,I'm {noun_phrase}.,seventy-year-old,6,
age,I'm {noun_phrase}.,spry,6,
age,I'm {noun_phrase}.,young-at-heart,11,
age,I'm {noun_phrase}.,25-year-old,10,
age,I'm {noun_phrase}.,twenty-five-year-old,6,
age,I'm {noun_phrase}.,twenty-something,9,
age,I'm {noun_phrase}.,younger,12,
age,I'm {noun_phrase}.,middle-aged,7,
age,I'm {noun_phrase}.,old,6,
age,I'm {noun_phrase}.,young,7,
age,I'm {noun_phrase}.,ninety-five-year-old,21,
age,I'm {noun_phrase}.,seventy-five-year-old,21,
age,I'm {noun_phrase}.,30-year-old,23,
age,I'm {noun_phrase}.,twenty-year-old,20,
age,I'm proud to be {noun_phrase}.,adolescent,8,
age,I'm proud to be {noun_phrase}.,55-year-old,47,
age,I'm proud to be {noun_phrase}.,forty-five-year-old,51,
age,I'm proud to be {noun_phrase}.,spry,25,
age,I'm proud to be {noun_phrase}.,forty-year-old,29,
age,I'm proud to be {noun_phrase}.,thirty-year-old,25,
age,I'm proud to be {noun_phrase}.,twenty-something,34,
age,I'm proud to be {noun_phrase}.,adult,23,
age,I'm proud to be {noun_phrase}.,middle-aged,36,
age,I'm proud to be {noun_phrase}.,teen,10,
age,I'm proud to be {noun_phrase}.,eighty-something,12,
age,I'm proud to be {noun_phrase}.,sixty-five-year-old,10,
age,I'm proud to be {noun_phrase}.,teenaged,2,
age,I'm proud to be {noun_phrase}.,45-year-old,8,
age,I'm proud to be {noun_phrase}.,50-year-old,5,
age,I'm proud to be {noun_phrase}.,eighty-five-year-old,12,
age,I'm proud to be {noun_phrase}.,senior,12,
age,I'm proud to be {noun_phrase}.,20-year-old,12,
age,I'm proud to be {noun_phrase}.,teenage,12,
age,I'm proud to be {noun_phrase}.,60-year-old,9,
age,I'm proud to be {noun_phrase}.,fifty-five-year-old,8,
age,I'm proud to be {noun_phrase}.,fifty-something,2,
age,I'm proud to be {noun_phrase}.,fifty-year-old,4,
age,I'm proud to be {noun_phrase}.,forty-something,10,
age,I'm proud to be {noun_phrase}.,sixty-something,2,
age,I'm proud to be {noun_phrase}.,sixty-year-old,7,
age,I'm proud to be {noun_phrase}.,65-year-old,5,
age,I'm proud to be {noun_phrase}.,70-year-old,10,
age,I'm proud to be {noun_phrase}.,75-year-old,2,
age,I'm proud to be {noun_phrase}.,80-year-old,8,
age,I'm proud to be {noun_phrase}.,90-year-old,8,
age,I'm proud to be {noun_phrase}.,95-year-old,8,
age,I'm proud to be {noun_phrase}.,centenarian,8,
age,I'm proud to be {noun_phrase}.,eighty-year-old,8,
age,I'm proud to be {noun_phrase}.,elderly,4,
age,I'm proud to be {noun_phrase}.,ninety-five-year-old,4,
age,I'm proud to be {noun_phrase}.,ninety-something,2,
age,I'm proud to be {noun_phrase}.,ninety-year-old,2,
age,I'm proud to be {noun_phrase}.,nonagenarian,5,
age,I'm proud to be {noun_phrase}.,octogenarian,10,
age,I'm proud to be {noun_phrase}.,older,8,
age,I'm proud to be {noun_phrase}.,retired,2,
age,I'm proud to be {noun_phrase}.,senior-citizen,2,
age,I'm proud to be {noun_phrase}.,seventy-five-year-old,9,
age,I'm proud to be {noun_phrase}.,seventy-something,5,
age,I'm proud to be {noun_phrase}.,seventy-year-old,8,
age,I'm proud to be {noun_phrase}.,young-at-heart,3,
age,I'm proud to be {noun_phrase}.,25-year-old,8,
age,I'm proud to be {noun_phrase}.,30-year-old,4,
age,I'm proud to be {noun_phrase}.,35-year-old,8,
age,I'm proud to be {noun_phrase}.,40-year-old,2,
age,I'm proud to be {noun_phrase}.,thirty-five-year-old,7,
age,I'm proud to be {noun_phrase}.,thirty-something,5,
age,I'm proud to be {noun_phrase}.,twenty-five-year-old,10,
age,I'm proud to be {noun_phrase}.,twenty-year-old,2,
age,I'm proud to be {noun_phrase}.,younger,3,
age,I'm proud to be {noun_phrase}.,old,4,
age,I'm proud to be {noun_phrase}.,young,2,
age,I'm proud to be {noun_phrase}.,85-year-old,5,
age,I love {plural_noun_phrase}.,adolescent,18,
age,I love {plural_noun_phrase}.,45-year-old,25,
age,I love {plural_noun_phrase}.,50-year-old,22,
age,I love {plural_noun_phrase}.,55-year-old,24,
age,I love {plural_noun_phrase}.,60-year-old,53,
age,I love {plural_noun_phrase}.,fifty-something,25,
age,I love {plural_noun_phrase}.,65-year-old,50,
age,I love {plural_noun_phrase}.,80-year-old,42,
age,I love {plural_noun_phrase}.,85-year-old,24,
age,I love {plural_noun_phrase}.,95-year-old,29,
age,I love {plural_noun_phrase}.,eighty-year-old,50,
age,I love {plural_noun_phrase}.,ninety-five-year-old,53,
age,I love {plural_noun_phrase}.,ninety-something,31,
age,I love {plural_noun_phrase}.,ninety-year-old,53,
age,I love {plural_noun_phrase}.,octogenarian,35,
age,I love {plural_noun_phrase}.,senior,35,
age,I love {plural_noun_phrase}.,thirty-five-year-old,24,
age,I love {plural_noun_phrase}.,thirty-year-old,35,
age,I love {plural_noun_phrase}.,young,26,
age,I love {plural_noun_phrase}.,teen,16,
age,I love {plural_noun_phrase}.,fifty-five-year-old,39,
age,I love {plural_noun_phrase}.,forty-five-year-old,30,
age,I love {plural_noun_phrase}.,centenarian,32,
age,I love {plural_noun_phrase}.,20-year-old,28,
age,I love {plural_noun_phrase}.,30-year-old,35,
age,I love {plural_noun_phrase}.,twenty-five-year-old,36,
age,I love {plural_noun_phrase}.,twenty-something,29,
age,I love {plural_noun_phrase}.,teenaged,24,
age,I love {plural_noun_phrase}.,sixty-something,20,
age,I love {plural_noun_phrase}.,90-year-old,19,
age,I love {plural_noun_phrase}.,seventy-five-year-old,18,
age,I love {plural_noun_phrase}.,thirty-something,20,
age,I love {plural_noun_phrase}.,middle-aged,19,
age,I love {plural_noun_phrase}.,old,19,
age,I love {plural_noun_phrase}.,fifty-year-old,25,
age,I love {plural_noun_phrase}.,forty-something,17,
age,I love {plural_noun_phrase}.,70-year-old,27,
age,I love {plural_noun_phrase}.,eighty-something,20,
age,I love {plural_noun_phrase}.,elderly,17,
age,I love {plural_noun_phrase}.,older,23,
age,I love {plural_noun_phrase}.,sixty-five-year-old,17,
age,I love {plural_noun_phrase}.,young-at-heart,18,
age,I love {plural_noun_phrase}.,25-year-old,27,
age,I love {plural_noun_phrase}.,twenty-year-old,14,
age,I love {plural_noun_phrase}.,adult,27,
age,I love {plural_noun_phrase}.,sixty-year-old,12,
age,I love {plural_noun_phrase}.,75-year-old,13,
age,I love {plural_noun_phrase}.,eighty-five-year-old,13,
age,I love {plural_noun_phrase}.,nonagenarian,13,
age,I love {plural_noun_phrase}.,retired,13,
age,I love {plural_noun_phrase}.,senior-citizen,13,
age,I love {plural_noun_phrase}.,seventy-something,16,
age,I love {plural_noun_phrase}.,seventy-year-old,12,
age,I love {plural_noun_phrase}.,spry,15,
age,I love {plural_noun_phrase}.,35-year-old,16,
age,I love {plural_noun_phrase}.,40-year-old,17,
age,I love {plural_noun_phrase}.,forty-year-old,14,
age,I love {plural_noun_phrase}.,younger,13,
age,I love {plural_noun_phrase}.,teenage,12,
body_type,I'm {noun_phrase}.,adorable,122,
body_type,I'm {noun_phrase}.,cute,24,
body_type,I'm {noun_phrase}.,good-looking,138,
body_type,I'm {noun_phrase}.,handsome,79,
body_type,I'm {noun_phrase}.,hot,26,
body_type,I'm {noun_phrase}.,hunky,41,
body_type,I'm {noun_phrase}.,sexy,31,
body_type,I'm {noun_phrase}.,muscular,30,
body_type,I'm {noun_phrase}.,ripped,44,
body_type,I'm {noun_phrase}.,swole,55,
body_type,I'm {noun_phrase}.,toned,48,
body_type,I'm {noun_phrase}.,bald-headed,39,
body_type,I'm {noun_phrase}.,balding,29,
body_type,I'm {noun_phrase}.,clean-shaven,29,
body_type,I'm {noun_phrase}.,coily-haired,37,
body_type,I'm {noun_phrase}.,dark-haired,28,
body_type,I'm {noun_phrase}.,dirty-blonde,27,
body_type,I'm {noun_phrase}.,dreadlocked,48,
body_type,I'm {noun_phrase}.,frizzy-haired,25,
body_type,I'm {noun_phrase}.,ginger,31,
body_type,I'm {noun_phrase}.,goateed,38,
body_type,I'm {noun_phrase}.,gray-haired,28,
body_type,I'm {noun_phrase}.,graying,33,
body_type,I'm {noun_phrase}.,kinky-haired,27,
body_type,I'm {noun_phrase}.,light-haired,59,
body_type,I'm {noun_phrase}.,long-haired,46,
body_type,I'm {noun_phrase}.,mustachioed,54,
body_type,I'm {noun_phrase}.,ponytailed,24,
body_type,I'm {noun_phrase}.,redhead,32,
body_type,I'm {noun_phrase}.,redheaded,37,
body_type,I'm {noun_phrase}.,scruffy,45,
body_type,I'm {noun_phrase}.,shaggy,31,
body_type,I'm {noun_phrase}.,short-haired,46,
body_type,I'm {noun_phrase}.,spiky-haired,32,
body_type,I'm {noun_phrase}.,straight-haired,28,
body_type,I'm {noun_phrase}.,unshaved,54,
body_type,I'm {noun_phrase}.,white-haired,57,
body_type,I'm {noun_phrase}.,beefy,54,
body_type,I'm {noun_phrase}.,big,25,
body_type,I'm {noun_phrase}.,bigger,25,
body_type,I'm {noun_phrase}.,burly,24,
body_type,I'm {noun_phrase}.,giant,27,
body_type,I'm {noun_phrase}.,gigantic,29,
body_type,I'm {noun_phrase}.,huge,28,
body_type,I'm {noun_phrase}.,large,43,
body_type,I'm {noun_phrase}.,large-stature,37,
body_type,I'm {noun_phrase}.,larger,31,
body_type,I'm {noun_phrase}.,massive,73,
body_type,I'm {noun_phrase}.,stocky,29,
body_type,I'm {noun_phrase}.,taller,26,
body_type,I'm {noun_phrase}.,very tall,30,
body_type,I'm {noun_phrase}.,medium-height,50,
body_type,I'm {noun_phrase}.,medium-stature,49,
body_type,I'm {noun_phrase}.,acne-covered,52,
body_type,I'm {noun_phrase}.,acne-ridden,66,
body_type,I'm {noun_phrase}.,four-eyed,62,
body_type,I'm {noun_phrase}.,grungy,26,
body_type,I'm {noun_phrase}.,out-of-shape,40,
body_type,I'm {noun_phrase}.,scrubby,65,
body_type,I'm {noun_phrase}.,smelly,42,
body_type,I'm {noun_phrase}.,stinky,27,
body_type,I'm {noun_phrase}.,visually impaired,54,
body_type,I'm {noun_phrase}.,bulky,28,
body_type,I'm {noun_phrase}.,chubby,36,
body_type,I'm {noun_phrase}.,chunky,24,
body_type,I'm {noun_phrase}.,curvy,33,
body_type,I'm {noun_phrase}.,full-figured,27,
body_type,I'm {noun_phrase}.,heavy,37,
body_type,I'm {noun_phrase}.,heavy-set,43,
body_type,I'm {noun_phrase}.,heavyset,28,
body_type,I'm {noun_phrase}.,mildly overweight,62,
body_type,I'm {noun_phrase}.,morbidly obese,34,
body_type,I'm {noun_phrase}.,obese,29,
body_type,I'm {noun_phrase}.,plus-sized,34,
body_type,I'm {noun_phrase}.,potbellied,31,
body_type,I'm {noun_phrase}.,rotund,64,
body_type,I'm {noun_phrase}.,slightly overweight,37,
body_type,I'm {noun_phrase}.,littler,29,
body_type,I'm {noun_phrase}.,miniature,44,
body_type,I'm {noun_phrase}.,petite,26,
body_type,I'm {noun_phrase}.,scrawny,40,
body_type,I'm {noun_phrase}.,short,34,
body_type,I'm {noun_phrase}.,shorter,41,
body_type,I'm {noun_phrase}.,small-stature,24,
body_type,I'm {noun_phrase}.,smaller,44,
body_type,I'm {noun_phrase}.,tiny,24,
body_type,I'm {noun_phrase}.,vertically challenged,27,
body_type,I'm {noun_phrase}.,very short,24,
body_type,I'm {noun_phrase}.,gangly,30,
body_type,I'm {noun_phrase}.,lanky,26,
body_type,I'm {noun_phrase}.,skinny,43,
body_type,I'm {noun_phrase}.,slender,58,
body_type,I'm {noun_phrase}.,slim,43,
body_type,I'm {noun_phrase}.,svelte,49,
body_type,I'm {noun_phrase}.,hideous,37,
body_type,I'm {noun_phrase}.,plain-looking,35,
body_type,I'm {noun_phrase}.,unattractive,31,
body_type,I'm {noun_phrase}.,pretty,80,
body_type,I'm {noun_phrase}.,amber-eyed,39,
body_type,I'm {noun_phrase}.,blue-eyed,28,
body_type,I'm {noun_phrase}.,brown-eyed,60,
body_type,I'm {noun_phrase}.,gray-eyed,52,
body_type,I'm {noun_phrase}.,green-eyed,25,
body_type,I'm {noun_phrase}.,grey-eyed,28,
body_type,I'm {noun_phrase}.,hazel-eyed,26,
body_type,I'm {noun_phrase}.,fit,76,
body_type,I'm {noun_phrase}.,in-shape,83,
body_type,I'm {noun_phrase}.,bald,28,
body_type,I'm {noun_phrase}.,black-haired,37,
body_type,I'm {noun_phrase}.,blond,51,
body_type,I'm {noun_phrase}.,blonde,24,
body_type,I'm {noun_phrase}.,brown-haired,32,
body_type,I'm {noun_phrase}.,brunette,42,
body_type,I'm {noun_phrase}.,tall,25,
body_type,I'm {noun_phrase}.,average-height,52,
body_type,I'm {noun_phrase}.,fat,43,
body_type,I'm {noun_phrase}.,overweight,29,
body_type,I'm {noun_phrase}.,brown-skinned,25,
body_type,I'm {noun_phrase}.,dark-skinned,71,
body_type,I'm {noun_phrase}.,olive-skinned,25,
body_type,I'm {noun_phrase}.,small,30,
body_type,I'm {noun_phrase}.,thin,34,
body_type,I'm {noun_phrase}.,ugly,33,
body_type,I'm {noun_phrase}.,attractive,114,
body_type,I'm {noun_phrase}.,well-built,133,
body_type,I'm {noun_phrase}.,big-boned,135,
body_type,I'm {noun_phrase}.,beautiful,125,
body_type,I'm {noun_phrase}.,physically fit,93,
body_type,I'm {noun_phrase}.,hairy,85,
body_type,I'm {noun_phrase}.,plump,87,
body_type,I'm {noun_phrase}.,homely,96,
body_type,I'm {noun_phrase}.,gorgeous,125,
body_type,I'm {noun_phrase}.,strong,121,
body_type,I'm {noun_phrase}.,curly-haired,122,
body_type,I'm {noun_phrase}.,barrel-chested,110,
body_type,I'm {noun_phrase}.,brawny,118,
body_type,I'm {noun_phrase}.,glasses-wearing,121,
body_type,I'm {noun_phrase}.,well-groomed,108,
body_type,I'm {noun_phrase}.,heftier,117,
body_type,I'm {noun_phrase}.,hefty,120,
body_type,I'm {noun_phrase}.,bony,119,
body_type,I'm {noun_phrase}.,underweight,105,
body_type,I'm {noun_phrase}.,bearded,125,
body_type,I'm {noun_phrase}.,light-skinned,105,
body_type,I'm proud to be {noun_phrase}.,adorable,38,
body_type,I'm proud to be {noun_phrase}.,clean-shaven,73,
body_type,I'm proud to be {noun_phrase}.,dirty-blonde,96,
body_type,I'm proud to be {noun_phrase}.,goateed,73,
body_type,I'm proud to be {noun_phrase}.,graying,56,
body_type,I'm proud to be {noun_phrase}.,hairy,105,
body_type,I'm proud to be {noun_phrase}.,scruffy,41,
body_type,I'm proud to be {noun_phrase}.,short-haired,76,
body_type,I'm proud to be {noun_phrase}.,spiky-haired,91,
body_type,I'm proud to be {noun_phrase}.,burly,51,
body_type,I'm proud to be {noun_phrase}.,larger,49,
body_type,I'm proud to be {noun_phrase}.,taller,63,
body_type,I'm proud to be {noun_phrase}.,very tall,50,
body_type,I'm proud to be {noun_phrase}.,acne-ridden,27,
body_type,I'm proud to be {noun_phrase}.,scrubby,47,
body_type,I'm proud to be {noun_phrase}.,smelly,72,
body_type,I'm proud to be {noun_phrase}.,visually impaired,32,
body_type,I'm proud to be {noun_phrase}.,bulky,41,
body_type,I'm proud to be {noun_phrase}.,chubby,51,
body_type,I'm proud to be {noun_phrase}.,heavyset,64,
body_type,I'm proud to be {noun_phrase}.,obese,26,
body_type,I'm proud to be {noun_phrase}.,rotund,57,
body_type,I'm proud to be {noun_phrase}.,slightly overweight,123,
body_type,I'm proud to be {noun_phrase}.,shorter,64,
body_type,I'm proud to be {noun_phrase}.,skinny,49,
body_type,I'm proud to be {noun_phrase}.,hideous,34,
body_type,I'm proud to be {noun_phrase}.,brown-eyed,38,
body_type,I'm proud to be {noun_phrase}.,gray-eyed,51,
body_type,I'm proud to be {noun_phrase}.,fit,49,
body_type,I'm proud to be {noun_phrase}.,black-haired,76,
body_type,I'm proud to be {noun_phrase}.,blond,78,
body_type,I'm proud to be {noun_phrase}.,brown-haired,50,
body_type,I'm proud to be {noun_phrase}.,fat,141,
body_type,I'm proud to be {noun_phrase}.,overweight,102,
body_type,I'm proud to be {noun_phrase}.,brown-skinned,25,
body_type,I'm proud to be {noun_phrase}.,dark-skinned,30,
body_type,I'm proud to be {noun_phrase}.,light-skinned,114,
body_type,I'm proud to be {noun_phrase}.,thin,105,
body_type,I'm proud to be {noun_phrase}.,ugly,40,
body_type,I'm proud to be {noun_phrase}.,attractive,52,
body_type,I'm proud to be {noun_phrase}.,gorgeous,13,
body_type,I'm proud to be {noun_phrase}.,ripped,22,
body_type,I'm proud to be {noun_phrase}.,redheaded,22,
body_type,I'm proud to be {noun_phrase}.,unshaved,17,
body_type,I'm proud to be {noun_phrase}.,brawny,14,
body_type,I'm proud to be {noun_phrase}.,gigantic,15,
body_type,I'm proud to be {noun_phrase}.,medium-height,13,
body_type,I'm proud to be {noun_phrase}.,heftier,18,
body_type,I'm proud to be {noun_phrase}.,hefty,20,
body_type,I'm proud to be {noun_phrase}.,mildly overweight,21,
body_type,I'm proud to be {noun_phrase}.,very short,22,
body_type,I'm proud to be {noun_phrase}.,plain-looking,21,
body_type,I'm proud to be {noun_phrase}.,amber-eyed,17,
body_type,I'm proud to be {noun_phrase}.,olive-skinned,21,
body_type,I'm proud to be {noun_phrase}.,beautiful,33,
body_type,I'm proud to be {noun_phrase}.,cute,8,
body_type,I'm proud to be {noun_phrase}.,good-looking,32,
body_type,I'm proud to be {noun_phrase}.,handsome,54,
body_type,I'm proud to be {noun_phrase}.,strong,54,
body_type,I'm proud to be {noun_phrase}.,huge,55,
body_type,I'm proud to be {noun_phrase}.,out-of-shape,52,
body_type,I'm proud to be {noun_phrase}.,in-shape,52,
body_type,I'm proud to be {noun_phrase}.,balding,10,
body_type,I'm proud to be {noun_phrase}.,hazel-eyed,10,
body_type,I'm proud to be {noun_phrase}.,hot,28,
body_type,I'm proud to be {noun_phrase}.,hunky,16,
body_type,I'm proud to be {noun_phrase}.,sexy,14,
body_type,I'm proud to be {noun_phrase}.,muscular,8,
body_type,I'm proud to be {noun_phrase}.,physically fit,44,
body_type,I'm proud to be {noun_phrase}.,well-built,49,
body_type,I'm proud to be {noun_phrase}.,bald-headed,48,
body_type,I'm proud to be {noun_phrase}.,kinky-haired,46,
body_type,I'm proud to be {noun_phrase}.,bigger,48,
body_type,I'm proud to be {noun_phrase}.,large,41,
body_type,I'm proud to be {noun_phrase}.,acne-covered,50,
body_type,I'm proud to be {noun_phrase}.,well-groomed,49,
body_type,I'm proud to be {noun_phrase}.,miniature,45,
body_type,I'm proud to be {noun_phrase}.,tiny,44,
body_type,I'm proud to be {noun_phrase}.,bald,39,
body_type,I'm proud to be {noun_phrase}.,tall,45,
body_type,I'm proud to be {noun_phrase}.,small,40,
body_type,I'm proud to be {noun_phrase}.,swole,28,
body_type,I'm proud to be {noun_phrase}.,toned,11,
body_type,I'm proud to be {noun_phrase}.,coily-haired,14,
body_type,I'm proud to be {noun_phrase}.,frizzy-haired,14,
body_type,I'm proud to be {noun_phrase}.,gray-haired,17,
body_type,I'm proud to be {noun_phrase}.,light-haired,17,
body_type,I'm proud to be {noun_phrase}.,long-haired,28,
body_type,I'm proud to be {noun_phrase}.,mustachioed,13,
body_type,I'm proud to be {noun_phrase}.,ponytailed,24,
body_type,I'm proud to be {noun_phrase}.,redhead,19,
body_type,I'm proud to be {noun_phrase}.,shaggy,19,
body_type,I'm proud to be {noun_phrase}.,straight-haired,17,
body_type,I'm proud to be {noun_phrase}.,white-haired,28,
body_type,I'm proud to be {noun_phrase}.,barrel-chested,27,
body_type,I'm proud to be {noun_phrase}.,beefy,34,
body_type,I'm proud to be {noun_phrase}.,big,35,
body_type,I'm proud to be {noun_phrase}.,big-boned,28,
body_type,I'm proud to be {noun_phrase}.,giant,34,
body_type,I'm proud to be {noun_phrase}.,large-stature,32,
body_type,I'm proud to be {noun_phrase}.,massive,33,
body_type,I'm proud to be {noun_phrase}.,medium-stature,17,
body_type,I'm proud to be {noun_phrase}.,four-eyed,38,
body_type,I'm proud to be {noun_phrase}.,glasses-wearing,17,
body_type,I'm proud to be {noun_phrase}.,grungy,14,
body_type,I'm proud to be {noun_phrase}.,chunky,35,
body_type,I'm proud to be {noun_phrase}.,curvy,19,
body_type,I'm proud to be {noun_phrase}.,full-figured,31,
body_type,I'm proud to be {noun_phrase}.,heavy,24,
body_type,I'm proud to be {noun_phrase}.,heavy-set,18,
body_type,I'm proud to be {noun_phrase}.,plump,19,
body_type,I'm proud to be {noun_phrase}.,plus-sized,32,
body_type,I'm proud to be {noun_phrase}.,potbellied,28,
body_type,I'm proud to be {noun_phrase}.,littler,30,
body_type,I'm proud to be {noun_phrase}.,petite,38,
body_type,I'm proud to be {noun_phrase}.,small-stature,19,
body_type,I'm proud to be {noun_phrase}.,vertically challenged,14,
body_type,I'm proud to be {noun_phrase}.,bony,14,
body_type,I'm proud to be {noun_phrase}.,gangly,14,
body_type,I'm proud to be {noun_phrase}.,lanky,32,
body_type,I'm proud to be {noun_phrase}.,slim,27,
